,15-109,19-037,19-001,16-070,19-022,16-079,16-097,18-101
ASCL1,0.322699776,-3.463391647,-0.505301424,0.084529852,0.027013298,0.524580905,0.268108462,0.71590745
SOX2,0.700135573,-1.847231669,-0.694256326,0.191488893,-0.26828655,1.701904046,0.502262185,2.213398486
HES1,1.079729195,-0.90936722,-1.192145581,-1.969140615,-1.316073435,-0.31106202,-0.649961218,0.780100995
RARG,-0.055846407,-0.824919211,-1.640448588,-1.428961586,-1.080136336,0.314843905,-0.444231915,2.199890209
GRHL2,-0.674027969,-0.588814444,-2.821316659,-0.89693142,0.138677235,0.137973993,-0.599775319,0.777148183
PPARG,0.875370767,0.525913906,-0.758291655,-1.710404297,-2.39007853,0.184624753,-0.280934552,1.371180838
ZNF217,-0.023075587,-1.031276279,-2.318022374,-1.497402538,-0.196176372,0.753608993,-0.104634274,1.844358464
ZNF146,-0.548455928,-1.09411847,-1.509209473,-0.685271844,0.340887554,1.343110171,-0.130883185,2.744572678
HMGA1,-0.000272503,-0.363584578,-0.593441175,-0.273432734,-0.016301396,-1.467727581,-0.934859433,-2.141126126
